scale,model_family,variant,macro_f1,class1_recall,class1_f1,pr_auc,roc_auc
Enron_10000,LogisticRegression,text_plus_metadata,0.692282289719977,0.9333333333333333,0.4057971014492754,0.6117591694173097,0.9786125211505923
Enron_50000,LogisticRegression,text_plus_metadata,0.7381513485205551,0.9333333333333333,0.49122807017543857,0.6162844859107148,0.9827681895093063
Enron_100000,LogisticRegression,text_plus_metadata,0.7652383769520429,0.9109947643979057,0.5454545454545454,0.6664727331254281,0.9871306349175002
