scale,model_family,variant,macro_f1,class1_recall,class1_f1
Enron_10000,DistilBERT,weighted_loss,0.7631133671742809,0.5333333333333333,0.5333333333333333
Enron_10000,TFIDF_LR,balanced,0.7209986557207958,0.9333333333333332,0.4590163934426229
Enron_50000,DistilBERT,weighted_loss,0.7889577414257487,0.6,0.5844155844155844
Enron_50000,TFIDF_LR,balanced,0.7354361156873512,0.9333333333333332,0.4861111111111111
Enron_100000,DistilBERT,weighted_loss,0.8472342955743479,0.6282722513089005,0.6997084548104956
Enron_100000,TFIDF_LR,balanced,0.7607165392400292,0.8848167539267016,0.5365079365079365
