scale,model_family,variant,macro_f1,class1_recall,class1_f1,pr_auc,roc_auc
Enron_10000,DistilBERT,late_fusion_text_plus_metadata,0.6397982870407428,0.8,0.3076923076923077,0.4980767378236598,0.9356345177664974
Enron_50000,DistilBERT,late_fusion_text_plus_metadata,0.6753762141162576,0.8266666666666667,0.37237237237237236,0.6130310571225891,0.9738856175972926
Enron_100000,DistilBERT,late_fusion_text_plus_metadata,0.7475873290113171,0.8691099476439791,0.5115562403697997,0.7097053804003733,0.9783994717961226
